Date,Open,High,Low,Close,Volume
2024-06-06,123.83370517037008,125.3700480295792,118.11560338652608,120.78897857666016,664696000
2024-06-07,119.56309618694148,121.48178065904402,117.81812234412239,120.67916870117188,412386000
2024-06-10,120.16206756268633,122.88734731323206,116.80787124184927,121.5796127319336,313434100
2024-06-11,121.56962216023484,122.66781818606155,118.54460929253459,120.71104431152344,222551200
2024-06-12,122.85750238613136,126.6712162731191,122.36831081363356,124.99398040771484,299595000
2024-06-13,129.177104537848,129.58643359087407,126.95077798576432,129.39674377441406,260704500
2024-06-14,129.7461556011969,132.62140615970972,128.10885485479358,131.66299438476562,309320400
2024-06-17,132.77118307637525,133.5099557271365,129.3667902512595,130.7644805908203,288504400
2024-06-18,130.9242214788469,136.10568428406987,130.474964956118,135.35691833496094,294335100
2024-06-20,139.56996619369176,140.52837801062054,129.30688285479897,130.56480407714844,517768400
2024-06-21,126.91083052082259,130.4150570517715,124.09547105255645,126.36173248291016,649445800
2024-06-24,123.03720520530106,124.25519890170064,117.84576490444155,117.9156494140625,476060900
2024-06-25,121.00055473590018,126.29183629953359,119.12365113611966,125.88250732421875,414192600
2024-06-26,125.92244899462368,127.90917229563556,122.39825886605338,126.19200897216797,362975900
2024-06-27,123.8957921998042,126.2019962793405,122.71773358253314,123.78597259521484,252571700
2024-06-28,124.3750052910358,127.49985213027985,122.54801473015355,123.33671569824219,315516700
2024-07-01,123.26683055595603,124.63457133754859,118.63446631453066,124.09546661376953,284885500
2024-07-02,120.93067286767031,123.20692743216773,120.8308389451457,122.4681396484375,218374000
2024-07-03,121.45983599496338,128.06893920898438,121.16032653936864,128.06893920898438,215749000
2024-07-05,127.17038486367325,128.6379747149119,125.47318537524079,125.62294006347656,214176700
2024-07-08,127.28020581947078,130.55481479101948,126.83094936680692,127.9890365600586,237677300
2024-07-09,130.13552958791902,133.59982130546845,128.4383145629174,131.16383361816406,285366600
2024-07-10,133.8094467425138,134.87769332438475,132.20209545632153,134.68800354003906,248978600
2024-07-11,135.52661932549566,135.92595502009132,126.84093848175796,127.19036102294922,374782700
2024-07-12,128.04893020829968,131.70291097832524,127.01064833229333,129.02732849121094,252680500
2024-07-15,130.34514408452472,131.1737800395054,126.97070905664152,128.2286376953125,208326200
2024-07-16,128.22865593379024,128.82765950066548,124.37500690887067,126.1520767211914,214769500
2024-07-17,121.15031675281162,121.64949400158038,116.52793817127537,117.79584503173828,390086200
2024-07-18,121.64949865015035,122.19859669151471,116.36820224234275,120.8907470703125,320979500
2024-07-19,120.15196272062997,121.39990584738524,117.176870571876,117.73594665527344,217223800
2024-07-22,120.15196240961751,123.86584236392231,119.66277083791101,123.33671569824219,258068900
2024-07-23,122.57797258109629,124.48483346113822,121.8990911705108,122.3882827758789,173911000
2024-07-24,118.97391446537992,119.75262982559674,113.25334693957731,114.06201171875,327776900
2024-07-25,112.85399693651604,116.43808604158575,106.12508953993542,112.09524536132812,460067000
2024-07-26,115.9988170024744,116.00879506379749,111.39640194140975,112.87396240234375,293399100
