Date,Open,High,Low,Close,Volume
2024-06-06,94.45894141099338,95.66370710205287,93.69700061839868,94.47563171386719,8045000
2024-06-07,95.4643890477927,95.4643890477927,93.81482816740194,94.52767944335938,5813000
2024-06-10,93.79420906975972,99.0227237945038,93.77162322377026,98.48956298828125,10591000
2024-06-11,98.09386911458536,98.28631701111824,96.18018491059964,98.16358184814453,7123000
2024-06-12,99.30355616851762,102.2040285925042,98.77333932778127,101.8829574584961,15063000
2024-06-13,100.85590891091324,102.58696620123702,100.34238239062164,101.96837615966797,9582000
2024-06-14,100.6428268277374,102.31889881903452,100.45136028610173,101.72093200683594,6205000
2024-06-17,101.13377481831334,105.39415476130517,101.13377481831334,105.22821807861328,10497000
2024-06-18,105.35708818477309,108.38693880065178,105.1249308778958,107.18385314941406,11927000
2024-06-20,107.41404045740185,107.55864249017604,103.31194189232204,104.40287780761719,14615000
2024-06-21,104.27107149412089,104.72358049606025,102.17968931092514,103.32473754882812,16514000
2024-06-24,103.0856901621777,103.98284274872944,100.54278216197652,100.77395629882812,10415000
2024-06-25,100.80543492789721,103.73494911902316,99.59645015718628,103.5755844116211,8646000
2024-06-26,103.64443957331245,105.17117051215533,102.52988485964613,103.85691833496094,8787000
2024-06-27,105.87255791162279,106.70969916204373,103.09847585818692,103.86380767822266,9148000
2024-06-28,104.77079256176104,106.90250744981475,103.58246206213605,104.7511215209961,12237000
2024-07-01,104.49633891137165,105.4466130676574,102.3557753754633,104.33599853515625,6145000
2024-07-02,103.1840576034254,105.59416912371643,102.949933942458,105.53514099121094,5504000
2024-07-03,105.25773625269436,107.34223615959405,104.36354071544159,106.51099395751953,4308000
2024-07-05,107.2605867701311,107.66489007776048,105.75746707743761,107.00875091552734,5599000
2024-07-08,107.06679118602091,108.78534672210743,106.75692537756176,108.36727142333984,7275000
2024-07-09,108.80895665604606,110.04646853158742,108.23249983604353,109.44345092773438,6242000
2024-07-10,109.78971668300439,111.11084352569296,108.87289312565875,110.8944320678711,7749000
2024-07-11,111.13741091053386,111.16003898697214,104.22384683592236,104.26811981201172,13516000
2024-07-12,103.9779070805399,107.55961975581046,103.53818693559721,105.24002075195312,9459000
2024-07-15,105.24003198195452,106.42934567435421,104.52880489185155,105.1701889038086,7911000
2024-07-16,105.81058480555066,106.4716473797708,104.55142800440103,105.84698486328125,6284000
2024-07-17,100.25554026274779,100.25554026274779,95.14414648501103,95.19234466552734,21142000
2024-07-18,96.81546859465821,96.81546859465821,92.01296550660213,93.70889282226562,16199000
2024-07-19,94.39160550710665,95.12545321761483,90.05931548305794,90.21768951416016,14103000
